sample_ID,poly_ID,MIC_ecoli,sequence,seq_mon_mol_dist
1,1,>512,NiMoNiTmaTmaNiTmaNiNiNiMoNiTmaMoTmaMoTmaTmaMoNiTmaNiNiNiNiMoTmaNiMoNiTmaTmaTmaNiNiNiTmaNiNiNiTmaTmaTmaTmaNiNiNiNiTmaTmaNiTmaNiNiNiTmaNiMoNiTmaNiNiNiTmaNiTmaTmaNiNiTma,[0.50809921 0.38513157 0.10676922]
2,1,>512,NiTmaTmaTmaTmaMoTmaNiNiNiNiMoNiMoNiNiNiNiTmaTmaTmaMoNiNiNiTmaTmaTmaNiNiNiMoMoNiTmaNiNiTmaTmaNiTmaMoNiNiTmaTmaNiMoNiNiTmaMoTmaTmaTmaNiNiNiTmaNiNiNiNiTmaTmaNiNiTmaNiTma,[0.50675729 0.37344457 0.11979814]
3,1,>512,TmaNiNiTmaNiNiTmaTmaNiTmaNiNiNiTmaTmaTmaTmaTmaNiTmaNiTmaTmaNiTmaTmaTmaMoMoTmaTmaTmaNiTmaNiNiTmaNiMoNiMoNiTmaNiMoTmaNiMoTmaMoTmaTmaNiNiTmaNiNiNiTmaNiNiTmaTmaMoMoNiNiMoNiNi,[0.56335508 0.3083995  0.12824543]
4,1,>512,TmaMoNiTmaNiTmaMoNiMoTmaTmaNiTmaNiTmaTmaNiNiNiTmaTmaNiTmaNiMoTmaTmaMoTmaTmaTmaTmaNiTmaNiTmaTmaTmaNiNiNiNiNiTmaTmaNiTmaTmaTmaTmaNiTmaNiNiMoMoNiTmaTmaTmaNiNiTmaTmaMoMoNiMoTmaTma,[0.6304578  0.24652413 0.12301807]
5,1,>512,TmaNiNiNiNiNiTmaNiTmaNiTmaTmaMoTmaTmaTmaTmaTmaMoNiMoNiNiNiTmaNiNiNiNiTmaNiTmaTmaTmaNiMoTmaMoTmaTmaNiTmaNiNiTmaTmaMoTmaNiTmaTmaTmaNiNiTmaTmaTmaNiNiTmaNiMoTmaMoNiNiMoMoNiTma,[0.57722799 0.29560729 0.12716471]
6,1,>512,MoNiTmaNiTmaMoNiTmaNiNiTmaTmaNiNiTmaNiMoNiNiTmaMoMoMoNiNiTmaNiTmaMoTmaTmaTmaNiNiTmaTmaNiNiTmaTmaNiNiTmaTmaTmaTmaTmaNiTmaTmaNiTmaNiNiTmaTmaNiNiMoNiNiNiNiTmaNiNiTmaNiMoTma,[0.55065753 0.33263275 0.11670972]
7,1,>512,TmaTmaMoNiTmaTmaMoTmaTmaNiNiTmaNiTmaNiNiNiTmaNiNiNiTmaNiTmaNiTmaNiNiTmaTmaTmaMoNiTmaTmaNiNiNiTmaNiNiTmaMoTmaMoNiTmaMoTmaTmaTmaTmaNiTmaTmaNiNiTmaNiTmaTmaTmaTmaMoNiNiNiNiNiNi,[0.59533772 0.31572325 0.08893903]
8,1,>512,NiMoTmaTmaTmaNiNiMoNiTmaTmaTmaNiTmaTmaTmaNiNiMoTmaNiNiMoTmaTmaNiTmaNiTmaTmaTmaNiTmaTmaTmaTmaTmaNiMoTmaTmaNiTmaTmaTmaTmaNiNiNiNiTmaNiTmaNiNiNiTmaTmaNiTmaNiNiTmaTmaTmaTmaTmaTmaTmaNi,[0.68846256 0.25125836 0.06027908]
9,1,>512,NiTmaNiNiTmaTmaNiNiTmaTmaNiTmaTmaNiNiMoTmaNiTmaNiTmaTmaNiTmaTmaNiTmaMoNiTmaMoNiMoNiMoNiMoMoTmaTmaTmaTmaMoNiTmaTmaTmaNiNiNiTmaTmaNiTmaTmaTmaTmaNiTmaTmaNiTmaTmaNiTmaTmaNiNiTmaTma,[0.64635701 0.25554934 0.09809365]
10,1,>512,MoTmaTmaNiNiTmaTmaTmaNiTmaNiNiNiMoNiNiNiNiNiTmaTmaNiNiNiNiNiTmaNiTmaTmaNiNiMoTmaTmaTmaNiTmaNiTmaTmaNiTmaNiNiNiTmaNiTmaTmaTmaNiTmaNiNiTmaMoNiNiTmaTmaNiNiNiNiNiMoTmaTmaTma,[0.55638377 0.37810325 0.06551298]
11,1,>512,TmaTmaTmaTmaTmaTmaNiMoNiNiNiTmaNiNiTmaNiTmaTmaNiNiTmaNiTmaNiNiNiTmaNiTmaTmaNiTmaNiNiTmaTmaTmaNiNiTmaNiNiTmaMoNiTmaNiMoNiNiNiNiNiNiMoNiNiNiTmaTmaTmaNiNiTmaTmaTmaNiTmaTmaNi,[0.57208937 0.37581713 0.0520935 ]
12,1,>512,NiNiNiTmaMoNiNiNiNiNiNiMoNiNiNiTmaTmaNiMoTmaTmaTmaTmaTmaTmaNiTmaMoMoNiTmaTmaNiTmaMoNiNiNiNiTmaNiTmaTmaNiTmaTmaTmaNiMoNiTmaTmaTmaNiTmaNiTmaTmaTmaTmaNiTmaMoTmaNiNiTmaTmaTmaMo,[0.59235114 0.29387233 0.11377653]
13,1,>512,NiNiTmaTmaNiTmaTmaTmaNiTmaNiMoTmaTmaTmaTmaTmaNiTmaNiNiNiNiTmaNiNiTmaMoNiNiNiTmaTmaTmaNiTmaTmaTmaNiTmaTmaNiNiTmaMoTmaTmaNiTmaNiTmaTmaTmaTmaMoTmaMoMoMoMoTmaTmaNiNiMoNiTmaNiTmaTma,[0.64478832 0.24512416 0.11008752]
14,1,>512,TmaTmaNiNiNiMoTmaMoMoTmaTmaNiTmaMoNiNiTmaNiNiNiTmaTmaNiMoTmaNiNiTmaNiNiTmaMoTmaMoNiTmaTmaTmaTmaTmaTmaNiMoNiTmaNiTmaTmaMoTmaTmaTmaTmaNiNiMoNiTmaTmaNiTmaMoTmaMoNiTmaTmaNiNiNi,[0.58792703 0.26150395 0.15056902]
15,1,>512,NiNiNiNiMoNiNiTmaMoTmaNiTmaTmaNiTmaNiTmaNiTmaTmaTmaNiTmaMoTmaNiMoMoTmaTmaTmaNiTmaMoTmaNiTmaTmaTmaTmaTmaTmaNiTmaTmaNiNiTmaTmaTmaMoMoTmaNiTmaTmaTmaNiMoNiTmaNiNiNiNiNiTmaTmaNiTma,[0.63200041 0.25701242 0.11098716]
