type,epoch,loss,roc_auc,f1,recall,precision,accuracy,confusion_matrix,time
train,1,0.6867304655813402,0.5483504902081902,0.3459715639810427,0.26280808640265857,0.5061333333333333,0.5341469748117372,"[[3165 926], [2662 949]]",0 days 00:00:03.550447
val,1,0.6767984720376822,0.7510792758330966,0.6737349397590362,0.9264413518886679,0.5293449450965544,0.5898212662829445,"[[ 549 1243], [ 111 1398]]",0 days 00:00:02.153161
inference,1,0.632234619723426,0.9486488095238095,0.9530821917808219,0.9939285714285714,0.9154605263157894,0.9404347826086956,"[[1543 257], [ 17 2783]]",0 days 00:00:03.222974
train,2,0.5216194439318872,0.8156990769601102,0.7037361354349095,0.6676820825256162,0.7439062017895711,0.7364320955595949,"[[3261 830], [1200 2411]]",0 days 00:00:03.577442
val,2,0.34059566488632786,0.9314351983338067,0.8561335902376365,0.8833664678595096,0.8305295950155763,0.8642835504392609,"[[1520 272], [ 176 1333]]",0 days 00:00:02.190701
inference,2,1.2411807709270053,0.8537573412698414,0.5177342509264161,0.3492857142857143,1.0,0.6039130434782609,"[[1800  0], [1822 978]]",0 days 00:00:03.227766
train,3,0.3137527463897582,0.9377359477860399,0.8665085786023156,0.8601495430628635,0.8729623383923553,0.8757465593352376,"[[3639 452], [ 505 3106]]",0 days 00:00:03.722281
val,3,0.30664747609541965,0.9459208291915175,0.8634615384615385,0.8926441351888668,0.8361266294227188,0.8709481975159042,"[[1528 264], [ 162 1347]]",0 days 00:00:02.157358
inference,3,2.2186242077085705,0.6422477182539682,0.0042765502494654314,0.002142857142857143,1.0,0.39260869565217393,"[[1800  0], [2794  6]]",0 days 00:00:03.175433
train,4,0.2941225536407963,0.9481896925260489,0.8806572900710208,0.8756577125450014,0.8857142857142857,0.8887301999480655,"[[3683 408], [ 449 3162]]",0 days 00:00:03.556226
val,4,0.4494934999025785,0.9473626988071572,0.8159287106655527,0.9708416169648774,0.7036503362151777,0.7997576491972129,"[[1175 617], [ 44 1465]]",0 days 00:00:02.155976
inference,4,1.6165941490067377,0.627897123015873,0.0682994135908934,0.03535714285714286,1.0,0.41282608695652173,"[[1800  0], [2701  99]]",0 days 00:00:03.222481
train,5,0.2869014677501494,0.9469936269178326,0.8771104345419319,0.8775962337302686,0.876625172890733,0.8847052713580889,"[[3645 446], [ 442 3169]]",0 days 00:00:03.618470
val,5,0.3015279185313445,0.9493881206806779,0.8718917217500787,0.9178263750828363,0.830335731414868,0.8767040290820963,"[[1509 283], [ 124 1385]]",0 days 00:00:02.149895
inference,5,1.3696942528088887,0.5378597222222222,0.0035650623885918,0.0017857142857142857,1.0,0.3923913043478261,"[[1800  0], [2795  5]]",0 days 00:00:03.258313
train,6,0.28131071550230824,0.9504405148423085,0.8844067325079983,0.8803655497092219,0.88848518725545,0.8921059465074007,"[[3692 399], [ 432 3179]]",0 days 00:00:03.594902
val,6,0.30209768276948196,0.9506432387815962,0.8697293895531781,0.9158383035122598,0.8280407429598562,0.8745834595577098,"[[1505 287], [ 127 1382]]",0 days 00:00:02.135872
inference,6,0.8634948829809824,0.5993185515873015,0.17603117895420592,0.09678571428571428,0.9713261648745519,0.4484782608695652,"[[1792  8], [2529 271]]",0 days 00:00:03.223725
train,7,0.2653972088329254,0.9536591085077029,0.8935756903010962,0.89171974522293,0.8954393770856507,0.9004154764996105,"[[3715 376], [ 391 3220]]",0 days 00:00:03.544666
val,7,0.27740645981751955,0.9519142584966391,0.8767582049564635,0.8674618952948973,0.8862559241706162,0.8885186307179642,"[[1624 168], [ 200 1309]]",0 days 00:00:02.130202
inference,7,0.6684848964214325,0.606462003968254,0.7367149758454107,0.8714285714285714,0.6380753138075314,0.6208695652173913,"[[ 416 1384], [ 360 2440]]",0 days 00:00:03.259695
train,8,0.2783317974498195,0.9507592467975003,0.8836950473010573,0.8795347549155359,0.8878948839809897,0.8914567644767593,"[[3690 401], [ 435 3176]]",0 days 00:00:03.573852
val,8,0.28612567255130184,0.9482517099782258,0.8737607402511567,0.8760768721007289,0.8714568226763348,0.8842774916691911,"[[1597 195], [ 187 1322]]",0 days 00:00:02.190720
inference,8,0.8043956259886423,0.591519246031746,0.7567567567567568,1.0,0.6086956521739131,0.6086956521739131,"[[  0 1800], [  0 2800]]",0 days 00:00:03.258872
train,9,0.27000876299796567,0.9530477740514349,0.8892307692307693,0.8803655497092219,0.8982763492512009,0.8971695663464035,"[[3731 360], [ 432 3179]]",0 days 00:00:03.596166
val,9,0.31599015914476836,0.9498337356811511,0.8760589896454346,0.925115970841617,0.831942789034565,0.8803392911239019,"[[1510 282], [ 113 1396]]",0 days 00:00:02.133428
inference,9,1.5831386976771884,0.5876981150793651,0.7567567567567568,1.0,0.6086956521739131,0.6086956521739131,"[[  0 1800], [  0 2800]]",0 days 00:00:03.231582
train,10,0.2771552094528752,0.9508950387274389,0.8810780772436788,0.8781500969260593,0.8840256481739616,0.8888600363541937,"[[3675 416], [ 440 3171]]",0 days 00:00:03.595100
val,10,0.27553962629574996,0.9535369627473255,0.877948717948718,0.8508946322067594,0.9067796610169492,0.891850954256286,"[[1660 132], [ 225 1284]]",0 days 00:00:02.236302
