type,epoch,loss,roc_auc,f1,recall,precision,accuracy,confusion_matrix,time
train,1,0.72054273082364,0.5507142242588153,0.47407184728693824,0.43672112988091943,0.5184089414858646,0.545702414957154,"[[2626 1465], [2034 1577]]",0 days 00:00:02.374497
val,1,0.6561996661699735,0.700929652738332,0.5029045643153527,0.40159045725646125,0.6725860155382908,0.6370796728264162,"[[1497 295], [ 903 606]]",0 days 00:00:01.911297
inference,1,1.0134977598985035,0.8086149801587302,0.1487603305785124,0.08035714285714286,1.0,0.44021739130434784,"[[1800  0], [2575 225]]",0 days 00:00:01.990513
train,2,0.6298587476053545,0.6958319662190835,0.5869267103458784,0.533370257546386,0.6524390243902439,0.6480135029862374,"[[3065 1026], [1685 1926]]",0 days 00:00:02.305375
val,2,0.5304660430321326,0.8227166021726783,0.7177802117561154,0.6514247846255798,0.7991869918699187,0.7658285368070282,"[[1545 247], [ 526 983]]",0 days 00:00:01.872719
inference,2,0.32674676179885864,0.9463418650793651,0.9357928343384179,0.9421428571428572,0.9295278365045807,0.921304347826087,"[[1600 200], [ 162 2638]]",0 days 00:00:01.978578
train,3,0.5055343989403017,0.8292033339288052,0.7358774038461539,0.6782054832456383,0.8042692939244663,0.7717475980264866,"[[3495 596], [1162 2449]]",0 days 00:00:02.313377
val,3,0.62647545337677,0.8578380905045915,0.7303754266211604,0.9218025182239894,0.6047826086956521,0.6888821569221448,"[[ 883 909], [ 118 1391]]",0 days 00:00:01.924333
inference,3,0.5367967055903541,0.9083415674603174,0.8580049698260561,0.8632142857142857,0.8528581510232887,0.8260869565217391,"[[1383 417], [ 383 2417]]",0 days 00:00:02.054384
train,4,0.46315205193335013,0.8536103425524049,0.7744371822803195,0.7382996399889228,0.8142944410507025,0.7983640612827837,"[[3483 608], [ 945 2666]]",0 days 00:00:02.380423
val,4,0.40750729120694673,0.8927576653176181,0.7966226138032305,0.7190192180251822,0.8930041152263375,0.8321720690699788,"[[1662 130], [ 424 1085]]",0 days 00:00:01.967317
inference,4,0.4894676191939248,0.9072315476190477,0.7535870243293824,0.6471428571428571,0.9019412643106023,0.7423913043478261,"[[1603 197], [ 988 1812]]",0 days 00:00:02.001528
train,5,0.40517990050777314,0.888586579980059,0.8135393671817512,0.765438936582664,0.8680904522613065,0.8354972734354713,"[[3671 420], [ 847 2764]]",0 days 00:00:02.358971
val,5,0.40915958697979266,0.9025009171163495,0.8180943214629451,0.8449304174950298,0.792910447761194,0.8282338685246895,"[[1459 333], [ 234 1275]]",0 days 00:00:01.921646
inference,5,0.5205038322342767,0.8481313492063491,0.7784552845528455,0.6839285714285714,0.9033018867924528,0.7630434782608696,"[[1595 205], [ 885 1915]]",0 days 00:00:02.060820
train,6,0.3842096655599533,0.8994381896593564,0.823220536756126,0.7815009692605926,0.8696456086286595,0.8426382757725266,"[[3668 423], [ 789 2822]]",0 days 00:00:02.303795
val,6,0.4286136237474588,0.9135035397732653,0.8111888111888111,0.8840291583830351,0.749438202247191,0.8118751893365647,"[[1346 446], [ 175 1334]]",0 days 00:00:01.917894
inference,6,0.5240248243014017,0.8593480158730159,0.833922261484099,0.885,0.7884187082405345,0.7854347826086957,"[[1135 665], [ 322 2478]]",0 days 00:00:01.998459
train,7,0.3771630323702289,0.9094413367016411,0.829563463477885,0.7972860703406258,0.8645645645645645,0.8464035315502467,"[[3640 451], [ 732 2879]]",0 days 00:00:02.371224
val,7,0.3631696838598985,0.9246189529489728,0.8334956183057449,0.8508946322067594,0.816793893129771,0.8445925477128143,"[[1504 288], [ 225 1284]]",0 days 00:00:01.853281
inference,7,0.4689667837487327,0.8534828373015871,0.7475971583786043,0.6389285714285714,0.9008056394763343,0.7373913043478261,"[[1603 197], [1011 1789]]",0 days 00:00:02.045100
train,8,0.3413694625900638,0.9228760730760954,0.8415912681315525,0.8114095818332872,0.8741050119331742,0.856790444040509,"[[3669 422], [ 681 2930]]",0 days 00:00:02.320879
val,8,0.30939619357769305,0.9408848249786993,0.8585399930143206,0.8144466534128562,0.9076809453471196,0.8773099060890639,"[[1667 125], [ 280 1229]]",0 days 00:00:01.911212
inference,8,0.6281327803929647,0.7729264880952381,0.7189284145805885,0.5846428571428571,0.9332953249714937,0.7217391304347827,"[[1683 117], [1163 1637]]",0 days 00:00:01.976707
train,9,0.31930634283250375,0.9381580806250707,0.8698005698005699,0.8454721683744115,0.8955705485479613,0.8813295247987536,"[[3735 356], [ 558 3053]]",0 days 00:00:02.351612
val,9,0.2969787877339583,0.9498102530649437,0.8702490170380078,0.8800530152418821,0.8606610499027868,0.880036352620418,"[[1577 215], [ 181 1328]]",0 days 00:00:01.879804
inference,9,0.9067566626601749,0.625358630952381,0.6063148597924487,0.4903571428571429,0.7941006362058993,0.6123913043478261,"[[1444 356], [1427 1373]]",0 days 00:00:02.008433
train,10,0.2920733796012017,0.9447607432164449,0.8749114605468197,0.8551647743007477,0.8955916473317865,0.8853544533887302,"[[3731 360], [ 523 3088]]",0 days 00:00:02.338430
val,10,0.2869001179933548,0.9549895567073748,0.8629989212513485,0.7952286282306164,0.9433962264150944,0.884580430172675,"[[1720  72], [ 309 1200]]",0 days 00:00:01.908121
inference,10,1.1556212769614325,0.5956662698412698,0.4245029554003224,0.28214285714285714,0.8568329718004338,0.5343478260869565,"[[1668 132], [2010 790]]",0 days 00:00:01.988593
train,11,0.2929500004937572,0.9447494046579882,0.8737616756297764,0.8548878427028523,0.8934876989869754,0.8841859257335757,"[[3723 368], [ 524 3087]]",0 days 00:00:02.360265
val,11,0.2599289818451955,0.9584048905968948,0.8813913043478261,0.8396288933068257,0.9275256222547584,0.8966979703120267,"[[1693  99], [ 242 1267]]",0 days 00:00:01.876791
inference,11,0.8104216820663876,0.7587026785714286,0.7120717781402937,0.6235714285714286,0.8298479087452472,0.6930434782608695,"[[1442 358], [1054 1746]]",0 days 00:00:02.025838
train,12,0.27976885293760606,0.9500003418490759,0.8838462629414268,0.8629188590418166,0.9058139534883721,0.89366398338094,"[[3767 324], [ 495 3116]]",0 days 00:00:02.391899
val,12,0.31215291298352754,0.9578869787229007,0.8652612282309807,0.9383697813121272,0.8027210884353742,0.8664041199636474,"[[1444 348], [ 93 1416]]",0 days 00:00:01.922072
inference,12,0.8374357786443498,0.7855008928571429,0.7352002835873803,0.7407142857142858,0.7297677691766362,0.6752173913043479,"[[1032 768], [ 726 2074]]",0 days 00:00:02.051625
train,13,0.29066977193278654,0.9464989273046772,0.8759864712514093,0.8607034062586542,0.8918220946915352,0.8857439626071151,"[[3714 377], [ 503 3108]]",0 days 00:00:02.362427
val,13,0.2776383516880182,0.9600769638123638,0.8850793650793651,0.923790589794566,0.8494820231566118,0.890336261738867,"[[1545 247], [ 115 1394]]",0 days 00:00:01.862283
inference,13,0.8263227144877116,0.7100287698412698,0.6812534767290933,0.6560714285714285,0.7084458156575395,0.6263043478260869,"[[1044 756], [ 963 1837]]",0 days 00:00:02.116761
train,14,0.2681394680853813,0.95363622831213,0.8923552557616639,0.8792578233176406,0.905848787446505,0.9005453129057388,"[[3761 330], [ 436 3175]]",0 days 00:00:02.339868
val,14,0.29136863809365493,0.9615036714238379,0.8728056667693256,0.9390324718356527,0.8153049482163406,0.8748863980611936,"[[1471 321], [ 92 1417]]",0 days 00:00:01.910385
inference,14,0.8418097628487481,0.7944454365079364,0.7216562602694709,0.7842857142857143,0.6682897139379185,0.6317391304347826,"[[ 710 1090], [ 604 2196]]",0 days 00:00:02.066460
train,15,0.27032308520809295,0.9528043842787063,0.8842663688398715,0.877042370534478,0.8916103603603603,0.8923656193196572,"[[3706 385], [ 444 3167]]",0 days 00:00:02.343698
val,15,0.24748516082763672,0.963205144135189,0.8888888888888888,0.8508946322067594,0.9304347826086956,0.9027567403817025,"[[1696  96], [ 225 1284]]",0 days 00:00:01.840111
inference,15,0.8466277453634474,0.7265954365079365,0.7031185031185031,0.6039285714285715,0.8412935323383085,0.6895652173913044,"[[1481 319], [1109 1691]]",0 days 00:00:02.034284
train,16,0.25354101629026476,0.9593504894635685,0.8964742239078523,0.8836887288839657,0.9096351197263398,0.9043105686834588,"[[3774 317], [ 420 3191]]",0 days 00:00:02.416012
val,16,0.24142991235622993,0.9630905045914987,0.8945945945945946,0.87740225314778,0.912474155754652,0.9054831869130566,"[[1665 127], [ 185 1324]]",0 days 00:00:01.900382
inference,16,1.2119309670395322,0.7540257936507937,0.7260078487334998,0.7267857142857143,0.725231646471846,0.6660869565217391,"[[1029 771], [ 765 2035]]",0 days 00:00:01.967639
train,17,0.25289892765783495,0.9584926852082446,0.8969086585536439,0.8878427028523954,0.9061616732617298,0.9043105686834588,"[[3759 332], [ 405 3206]]",0 days 00:00:02.385030
val,17,0.24253386029830346,0.9637060449801192,0.8927848954821308,0.87740225314778,0.908716540837337,0.9036655558921539,"[[1659 133], [ 185 1324]]",0 days 00:00:01.924538
inference,17,1.3133527172936335,0.8377272817460317,0.6513463324048282,0.5010714285714286,0.9303713527851459,0.6734782608695652,"[[1695 105], [1397 1403]]",0 days 00:00:02.015485
train,18,0.2571800884700591,0.9583395300529677,0.8958450308815272,0.8836887288839657,0.9083404497580415,0.9036613866528175,"[[3769 322], [ 420 3191]]",0 days 00:00:02.321444
val,18,0.29407583062465376,0.9630561127283915,0.8751529987760098,0.9476474486414844,0.8129619101762365,0.8764010905786126,"[[1463 329], [ 79 1430]]",0 days 00:00:01.880893
inference,18,1.423752698633406,0.7917654761904762,0.7045356371490281,0.5825,0.8912568306010928,0.7026086956521739,"[[1601 199], [1169 1631]]",0 days 00:00:02.107884
train,19,0.25579219239373363,0.9584623587951776,0.8937062937062937,0.884796455275547,0.902797400395592,0.9013243313425084,"[[3747 344], [ 416 3195]]",0 days 00:00:02.355803
val,19,0.23456154878322893,0.9655637602953706,0.900033433634236,0.8919814446653412,0.9082321187584346,0.909421387458346,"[[1656 136], [ 163 1346]]",0 days 00:00:01.897938
inference,19,1.482201635837555,0.8219470238095238,0.6294322132097335,0.485,0.8963696369636963,0.6523913043478261,"[[1643 157], [1442 1358]]",0 days 00:00:02.019026
train,20,0.25636552081954095,0.9583241976142184,0.897054698457223,0.8856272500692329,0.9087809036658141,0.9047000779018437,"[[3770 321], [ 413 3198]]",0 days 00:00:02.331435
val,20,0.23335066093848303,0.966177636561583,0.9015302727877578,0.8979456593770709,0.9051436205744823,0.9103302029687973,"[[1650 142], [ 154 1355]]",0 days 00:00:01.884490
inference,20,1.4322719971338909,0.721290376984127,0.62230592174095,0.5310714285714285,0.751389590702375,0.6076086956521739,"[[1308 492], [1313 1487]]",0 days 00:00:01.961082
train,21,0.2515884647446294,0.9594529764934421,0.8981767180925666,0.8867349764608142,0.9099175902244956,0.9057387691508699,"[[3774 317], [ 409 3202]]",0 days 00:00:02.319425
val,21,0.23138862275160277,0.9667016502177411,0.9032688458972649,0.8972829688535454,0.9093351242444594,0.9121478339897001,"[[1657 135], [ 155 1354]]",0 days 00:00:01.880593
inference,21,1.0723825991153717,0.768428373015873,0.6518585675430644,0.5135714285714286,0.892059553349876,0.6660869565217391,"[[1626 174], [1362 1438]]",0 days 00:00:01.987683
train,22,0.25241621992280405,0.9579860039542123,0.8967057509771078,0.8895042924397674,0.9040247678018576,0.9039210594650741,"[[3750 341], [ 399 3212]]",0 days 00:00:02.305761
val,22,0.24458996263834146,0.9663910140348385,0.8912207065407485,0.8442677269715043,0.9437037037037037,0.9057861254165405,"[[1716  76], [ 235 1274]]",0 days 00:00:01.842339
inference,22,1.5418625275293987,0.7259418650793652,0.639709223080418,0.5028571428571429,0.8789013732833958,0.6552173913043479,"[[1606 194], [1392 1408]]",0 days 00:00:02.042424
