type,epoch,loss,roc_auc,f1,recall,precision,accuracy,confusion_matrix,time
train,1,0.44628953741442773,0.8781129335314748,0.7913128219406933,0.787039601218499,0.7956326987681971,0.8053752272137107,"[[3361 730], [ 769 2842]]",0 days 00:00:02.526923
val,1,0.4055903210089757,0.9338847865189814,0.8309352517985612,0.7654075546719682,0.9087332808811959,0.8576189033626174,"[[1676 116], [ 354 1155]]",0 days 00:00:02.017614
inference,1,0.3283858448266983,0.9823168650793652,0.9326040931545518,0.9439285714285715,0.9215481171548117,0.9169565217391304,"[[1575 225], [ 157 2643]]",0 days 00:00:02.211676
train,2,0.32721939298414415,0.9332680480573463,0.8552431084637762,0.8548878427028523,0.8555986696230599,0.8643209555959491,"[[3570 521], [ 524 3087]]",0 days 00:00:02.661883
val,2,0.3512958334042476,0.9428479347131495,0.8082397003745319,0.7150430748840292,0.9293712316968131,0.8448954862162981,"[[1710  82], [ 430 1079]]",0 days 00:00:02.431818
inference,2,1.3501350416077509,0.9451127976190478,0.75952800759528,1.0,0.6122895254756178,0.6145652173913043,"[[ 27 1773], [  0 2800]]",0 days 00:00:02.352066
train,3,0.3040374868339108,0.9422326846843017,0.8704088704088704,0.8695652173913043,0.8712541620421753,0.8786029602700597,"[[3627 464], [ 471 3140]]",0 days 00:00:02.736743
val,3,0.40305126859591556,0.9458431701457919,0.7901043679938152,0.6772697150430749,0.948051948051948,0.8355043926083006,"[[1736  56], [ 487 1022]]",0 days 00:00:02.123610
inference,3,0.8499620490603976,0.8344111111111111,0.7615416042489446,0.9985714285714286,0.6154523442659036,0.6193478260869565,"[[ 53 1747], [  4 2796]]",0 days 00:00:02.234494
train,4,0.2912964503611288,0.9464436560630047,0.8760261583414498,0.8717806701744669,0.8803131991051454,0.884315762139704,"[[3663 428], [ 463 3148]]",0 days 00:00:02.589977
val,4,0.3933504567696498,0.9518166299820127,0.7873831775700935,0.6699801192842942,0.9546742209631728,0.8345955770978492,"[[1744  48], [ 498 1011]]",0 days 00:00:02.156228
inference,4,1.370859894487593,0.8017825396825398,0.7569322331935615,0.9992857142857143,0.6091878946222512,0.6093478260869565,"[[  5 1795], [  2 2798]]",0 days 00:00:02.204495
train,5,0.2867766315898588,0.9491364113875411,0.8779732582688248,0.8637496538355026,0.8926731539782484,0.8874318358867826,"[[3716 375], [ 492 3119]]",0 days 00:00:02.478271
val,5,0.41646069517502415,0.9483473045654642,0.8271534512264689,0.9609012591119946,0.7260891337005508,0.8164192668888216,"[[1245 547], [ 59 1450]]",0 days 00:00:02.131669
inference,5,2.48019407192866,0.8309903769841269,0.7567567567567568,1.0,0.6086956521739131,0.6086956521739131,"[[  0 1800], [  0 2800]]",0 days 00:00:02.208850
train,6,0.2753267869833977,0.9533954785619676,0.8803442531926707,0.8781500969260593,0.8825494016142499,0.888081017917424,"[[3669 422], [ 440 3171]]",0 days 00:00:02.535734
val,6,0.48534910266215986,0.954091115509325,0.6933219906422798,0.5400927766732936,0.9679334916864608,0.7815813389881854,"[[1765  27], [ 694 815]]",0 days 00:00:02.068091
inference,6,1.8208829098277621,0.7306513888888888,0.756325260451901,0.9982142857142857,0.6087998257460249,0.6084782608695652,"[[  4 1796], [  5 2795]]",0 days 00:00:02.297761
train,7,0.26846190998631136,0.9556238945328586,0.8835005574136009,0.877873165328164,0.8892005610098177,0.8914567644767593,"[[3696 395], [ 441 3170]]",0 days 00:00:02.565030
val,7,0.44496044975060683,0.9542064946629745,0.7501015847216579,0.6116633532140491,0.9695378151260504,0.8136928203574675,"[[1763  29], [ 586 923]]",0 days 00:00:02.116633
inference,7,1.0806547204653423,0.7745596230158729,0.7218088151116199,0.9007142857142857,0.602196752626552,0.577391304347826,"[[ 134 1666], [ 278 2522]]",0 days 00:00:02.246763
train,8,0.2545523907869093,0.9589940187242587,0.8941472976757211,0.8842425920797563,0.9042764089493062,0.9018436769670215,"[[3753 338], [ 418 3193]]",0 days 00:00:02.613135
val,8,0.26409691916062283,0.9578141271419105,0.8849385908209437,0.9072233267064281,0.8637223974763407,0.8921538927597698,"[[1576 216], [ 140 1369]]",0 days 00:00:02.100503
inference,8,1.6852892239888508,0.7919667658730158,0.7567567567567568,1.0,0.6086956521739131,0.6086956521739131,"[[  0 1800], [  0 2800]]",0 days 00:00:02.329910
train,9,0.2654501930359871,0.957591489812796,0.8914096002213308,0.8922736084187206,0.8905472636815921,0.8980784211893015,"[[3695 396], [ 389 3222]]",0 days 00:00:02.479806
val,9,0.2679308205842972,0.9559630683162926,0.886084142394822,0.9072233267064281,0.8659076533839343,0.8933656467737049,"[[1580 212], [ 140 1369]]",0 days 00:00:02.098680
inference,9,2.404250250922309,0.7482128968253967,0.7567567567567568,1.0,0.6086956521739131,0.6086956521739131,"[[  0 1800], [  0 2800]]",0 days 00:00:02.211021
train,10,0.24692552007975116,0.9607777262785342,0.8961474036850922,0.8889504292439767,0.9034618632141852,0.9034017138405609,"[[3748 343], [ 401 3210]]",0 days 00:00:02.646760
