type,epoch,loss,roc_auc,f1,recall,precision,accuracy,confusion_matrix,time
train,1,0.3386487850258427,0.9296304354256912,0.8472838137472284,0.8465798947659928,0.847988904299584,0.8569202804466373,"[[3543 548], [ 554 3057]]",0 days 00:00:02.172776
val,1,0.3034417720941397,0.9492194896099593,0.8601769911504424,0.805168986083499,0.9232522796352584,0.8803392911239019,"[[1691 101], [ 294 1215]]",0 days 00:00:01.790620
inference,1,2.303907420900133,0.6151232142857143,0.7567567567567568,1.0,0.6086956521739131,0.6086956521739131,"[[  0 1800], [  0 2800]]",0 days 00:00:01.987777
train,2,0.24845159342212061,0.961522754185265,0.9018191917789196,0.8991968983661036,0.9044568245125348,0.9082056608673071,"[[3748 343], [ 364 3247]]",0 days 00:00:02.060173
val,2,0.24688690556929663,0.9622565943623971,0.8983780205230056,0.899271040424122,0.8974867724867724,0.9069978794304756,"[[1637 155], [ 152 1357]]",0 days 00:00:01.791519
inference,2,5.314947446187337,0.6145673611111111,0.7567567567567568,1.0,0.6086956521739131,0.6086956521739131,"[[  0 1800], [  0 2800]]",0 days 00:00:01.984063
train,3,0.222271686119418,0.9685689744141874,0.9101045296167247,0.9041816671282193,0.9161054994388328,0.9162555180472605,"[[3792 299], [ 346 3265]]",0 days 00:00:02.108350
val,3,0.3091161400079727,0.9600780732273029,0.8548621190130624,0.780649436713055,0.9446672012830793,0.8788245986064829,"[[1723  69], [ 331 1178]]",0 days 00:00:01.795052
inference,3,27.28949366675483,0.5,0.7567567567567568,1.0,0.6086956521739131,0.6086956521739131,"[[  0 1800], [  0 2800]]",0 days 00:00:01.994329
train,4,0.2109237265202307,0.9732167002953643,0.913718361068382,0.90473553032401,0.9228813559322034,0.9198909374188522,"[[3818 273], [ 344 3267]]",0 days 00:00:02.092202
val,4,0.2419380430991833,0.967086247396573,0.9018977163074944,0.92909211398277,0.87625,0.9076037564374432,"[[1594 198], [ 107 1402]]",0 days 00:00:01.781310
inference,4,38.954822328355576,0.5,0.7567567567567568,1.0,0.6086956521739131,0.6086956521739131,"[[  0 1800], [  0 2800]]",0 days 00:00:01.944001
train,5,0.20877181762649166,0.9716046280543283,0.912817633019795,0.9003046247576848,0.9256833712984055,0.9193715917943391,"[[3830 261], [ 360 3251]]",0 days 00:00:02.077705
val,5,0.22150277747557715,0.9692024563925968,0.9067567567567567,0.8893306825712393,0.9248793935217091,0.9163889730384732,"[[1683 109], [ 167 1342]]",0 days 00:00:01.823127
inference,5,16.548889266120064,0.5,0.7567567567567568,1.0,0.6086956521739131,0.6086956521739131,"[[  0 1800], [  0 2800]]",0 days 00:00:01.954255
train,6,0.19455657322560588,0.9751605353722069,0.921625745595783,0.9199667682082525,0.9232907170650362,0.9266424305375227,"[[3815 276], [ 289 3322]]",0 days 00:00:02.125882
val,6,0.39130205145249,0.9503647756319227,0.8593703148425788,0.949635520212061,0.7847754654983571,0.8579218418661012,"[[1399 393], [ 76 1433]]",0 days 00:00:01.785064
inference,6,22.906354268391926,0.5,0.7567567567567568,1.0,0.6086956521739131,0.6086956521739131,"[[  0 1800], [  0 2800]]",0 days 00:00:01.942599
train,7,0.18630478170610243,0.9779307652051253,0.9207325597651335,0.9119357518692883,0.9297007340485601,0.9263827577252661,"[[3842 249], [ 318 3293]]",0 days 00:00:02.078462
val,7,0.2254857375071599,0.9715971285382939,0.9097963142580019,0.9324055666003976,0.8882575757575758,0.9154801575280218,"[[1615 177], [ 102 1407]]",0 days 00:00:01.819823
inference,7,13.726084179348415,0.5,0.7567567567567568,1.0,0.6086956521739131,0.6086956521739131,"[[  0 1800], [  0 2800]]",0 days 00:00:01.965459
train,8,0.20344169870499643,0.9744414676873762,0.9168982768204558,0.9135973414566602,0.9202231520223152,0.9223578291352895,"[[3805 286], [ 312 3299]]",0 days 00:00:02.089808
val,8,0.2418727416258592,0.9645608491905708,0.8796202102407595,0.8595096090125911,0.9006944444444445,0.8924568312632536,"[[1649 143], [ 212 1297]]",0 days 00:00:01.818503
inference,8,14.73034053378635,0.5,0.7567567567567568,1.0,0.6086956521739131,0.6086956521739131,"[[  0 1800], [  0 2800]]",0 days 00:00:01.933153
train,9,0.2159809095244254,0.9704657967814876,0.9130980610963872,0.9063971199113819,0.9198988195615514,0.9191119189820826,"[[3806 285], [ 338 3273]]",0 days 00:00:02.114886
val,9,0.3133841638381665,0.9520865876171541,0.8492553577915002,0.7746852220013254,0.9397106109324759,0.874280521054226,"[[1717  75], [ 340 1169]]",0 days 00:00:01.816675
inference,9,0.7525755133893755,0.5570517857142857,0.5707964601769911,0.4607142857142857,0.75,0.5782608695652174,"[[1370 430], [1510 1290]]",0 days 00:00:02.023643
