sample_ID,poly_ID,MIC_ecoli,sequence,seq_mon_mol_dist
1,1,>512,TmaTmaTmaTmaTmaTmaTmaTmaTmaNiMoNiTmaTmaMoNiNiNiMoTmaTmaMoNiTmaTmaNiTmaNiTmaMoTmaNiTmaTmaMoMoTmaTmaNiTmaTmaTmaTmaTmaNiTmaTmaTmaNiTmaTmaMoMoTmaNiNiTmaNiTmaNiMoNiNiNiTmaNiTmaMoMoTma,[0.66498761 0.19159819 0.14341419]
2,1,>512,TmaTmaNiTmaNiTmaTmaNiMoTmaNiTmaTmaNiNiMoTmaNiNiNiTmaTmaNiTmaNiMoNiTmaNiTmaTmaTmaNiNiTmaTmaTmaNiNiNiMoNiTmaNiTmaNiNiNiNiTmaTmaNiNiNiNiTmaNiTmaNiTmaTmaNiTmaNiTmaMoTmaNiTmaTma,[0.59835457 0.33779563 0.0638498 ]
3,1,>512,TmaTmaTmaTmaNiTmaNiTmaTmaTmaTmaNiTmaTmaNiNiTmaTmaTmaTmaTmaTmaNiTmaNiNiNiNiMoNiMoTmaNiTmaTmaTmaNiTmaTmaTmaTmaTmaNiTmaTmaNiTmaNiTmaNiNiNiMoTmaTmaTmaNiTmaTmaTmaNiTmaTmaNiTmaNiMoNiTmaTma,[0.72576269 0.2270325  0.04720481]
4,1,>512,NiMoTmaTmaNiNiTmaNiMoNiTmaMoNiNiNiNiNiTmaTmaNiTmaNiNiNiMoNiNiNiTmaTmaMoNiNiTmaNiTmaTmaTmaNiNiTmaTmaTmaTmaNiMoTmaTmaTmaNiNiNiNiNiNiMoMoTmaTmaTmaTmaNiTmaNiNiMoTmaNiNiTma,[0.5216466  0.35960273 0.11875067]
5,1,>512,TmaNiTmaNiTmaTmaTmaNiTmaMoNiNiTmaTmaTmaMoTmaTmaTmaTmaTmaTmaNiNiNiTmaMoNiTmaNiTmaTmaNiTmaMoTmaTmaTmaTmaTmaMoTmaTmaMoNiNiNiTmaTmaNiTmaTmaTmaNiTmaTmaNiNiNiNiMoTmaNiTmaNiMoTmaNiNiMo,[0.65737058 0.23342708 0.10920235]
6,1,>512,TmaNiMoNiTmaNiTmaTmaTmaTmaTmaTmaTmaTmaNiNiTmaNiTmaNiTmaNiNiNiTmaTmaNiTmaNiNiNiTmaMoTmaNiTmaMoNiMoMoNiTmaTmaTmaTmaTmaTmaTmaTmaTmaNiTmaTmaNiTmaNiTmaTmaNiNiTmaMoNiNiMoNiTmaNiNiNi,[0.6351084  0.27814374 0.08674786]
7,1,>512,TmaTmaTmaMoNiNiNiTmaTmaTmaNiMoTmaNiNiTmaMoTmaNiTmaNiNiTmaNiTmaNiNiTmaTmaNiNiNiTmaNiTmaTmaTmaTmaNiNiTmaTmaNiNiMoNiNiTmaNiTmaNiNiNiNiTmaNiNiNiTmaMoTmaNiNiTmaTmaNiNiNiTmaTma,[0.57061489 0.36443606 0.06494905]
8,1,>512,TmaNiTmaNiTmaTmaTmaTmaTmaMoNiNiTmaTmaNiNiNiTmaMoTmaTmaNiNiTmaNiTmaTmaTmaTmaNiTmaNiNiNiNiNiNiTmaTmaMoTmaTmaTmaNiNiNiNiNiNiTmaNiTmaNiNiNiNiNiNiMoMoTmaTmaTmaNiTmaTmaTmaTmaTmaTma,[0.6251709  0.31204195 0.06278715]
9,1,>512,NiMoNiTmaTmaTmaMoNiNiTmaNiTmaTmaNiNiMoTmaTmaTmaMoTmaNiTmaNiNiMoNiNiTmaTmaNiTmaTmaTmaTmaNiTmaNiNiTmaTmaNiNiMoNiNiTmaNiTmaNiNiTmaTmaNiTmaNiTmaNiNiNiTmaNiTmaTmaNiTmaTmaTmaTmaTma,[0.62361712 0.30122556 0.07515732]
10,1,>512,TmaTmaTmaTmaNiMoTmaTmaTmaNiNiNiTmaNiTmaNiTmaNiNiNiMoTmaNiNiTmaTmaMoNiNiTmaTmaNiNiTmaNiNiTmaNiNiTmaNiTmaNiNiNiTmaNiNiMoNiTmaTmaNiNiNiNiNiNiNiNiNiNiTmaNiTmaTmaNiNiNiTma,[0.51353872 0.43250516 0.05395613]
