sample_ID,poly_ID,MIC_ecoli,sequence,seq_mon_mol_dist
1,4,256,MepTmaTmaTmaTmaPhePhePheTmaPhePheTmaTmaMepMepTmaMepTmaTmaPheTmaPheTmaTmaTmaTmaTmaMepTmaTmaTmaMepTmaTmaTmaMepTmaPhePhePhePheTmaPheTmaTmaMepPheMepPhePheMepTmaTmaPheTmaTmaMepTmaTmaMepTmaPhePheTmaMepTmaPhePhePheTma,[0.60044201 0.24937084 0.15018716]
2,4,256,TmaTmaTmaMepTmaTmaPhePheTmaMepTmaPhePheMepPheTmaTmaTmaTmaTmaPheMepPheMepMepPheTmaTmaTmaPheMepTmaPheTmaTmaPheMepTmaTmaTmaMepPheMepMepTmaTmaMepPheTmaTmaTmaTmaPhePheTmaPheMepPhePhePheTmaTmaTmaPhePhePhePheTmaPhePhe,[0.54418357 0.30268664 0.15312978]
3,4,256,PhePhePhePhePheTmaTmaMepTmaPheMepMepPhePhePheTmaTmaTmaTmaPheTmaTmaPheTmaTmaPheTmaTmaPheTmaPheTmaTmaTmaTmaMepPheTmaPhePhePhePheTmaTmaTmaPheMepPheMepMepTmaTmaPhePheMepTmaTmaPheTmaPhePheTmaPheTmaTmaTmaTmaPheMepPhe,[0.54346999 0.35065609 0.10587391]
4,4,256,TmaTmaPheTmaTmaTmaTmaTmaTmaPheTmaPheTmaTmaMepMepPhePhePhePhePheTmaTmaPhePheTmaPhePhePheMepTmaPheTmaTmaPhePhePheTmaPheTmaPheTmaTmaTmaPhePheTmaTmaTmaTmaMepTmaPheTmaPhePhePheTmaPheTmaMepTmaTmaTmaPheTmaPheTmaPhePhe,[0.58506694 0.35703975 0.05789331]
5,4,256,TmaTmaTmaPheTmaPheTmaPhePheMepTmaTmaPheTmaTmaMepPheMepPhePheTmaPhePhePhePheMepPhePheMepTmaPheTmaTmaTmaTmaPhePheTmaPheTmaPheTmaPheTmaTmaTmaPheMepMepTmaPheTmaPheTmaMepPheTmaPheTmaPheTmaPhePhePheTmaTmaTmaMepTmaTma,[0.54346999 0.35065609 0.10587391]
6,4,256,MepTmaTmaPheTmaTmaPhePheTmaTmaPheTmaPheMepMepMepTmaPhePheTmaTmaPheTmaTmaTmaPhePheTmaTmaPheTmaTmaPheTmaPheMepTmaTmaMepTmaPheTmaPheMepTmaPheTmaTmaPheMepTmaTmaPheTmaTmaTmaTmaTmaMepPheTmaTmaTmaMepPheTmaPhePhePheTma,[0.61358061 0.27155358 0.11486581]
7,4,256,TmaTmaTmaPhePhePhePheTmaPheTmaTmaTmaTmaTmaPhePhePheMepTmaPheTmaTmaTmaPhePheMepTmaMepTmaTmaTmaTmaTmaPhePhePhePheTmaPhePhePhePheMepPheTmaTmaTmaTmaTmaTmaTmaTmaMepMepTmaPhePheTmaMepTmaTmaTmaTmaMepTmaMepTmaTmaPheTma,[0.62696841 0.27017658 0.10285501]
8,4,256,TmaTmaMepTmaTmaTmaPheTmaTmaPheTmaTmaPhePheMepPheTmaPhePhePhePhePheTmaTmaPheTmaTmaMepTmaPhePheTmaTmaPheTmaPheMepPheMepPhePheTmaPheTmaPheTmaTmaTmaTmaTmaPheTmaPheTmaPhePheTmaPheTmaPheTmaTmaPheTmaPheMepTmaPheTmaPhe,[0.57128574 0.35888353 0.06983073]
9,4,256,MepMepPheTmaTmaMepTmaPheMepTmaPheMepPheTmaTmaTmaTmaTmaPhePheTmaTmaTmaPheMepTmaPhePhePheTmaPheTmaMepTmaTmaTmaTmaTmaPhePheMepPheTmaTmaMepMepTmaPhePheTmaTmaPhePhePheTmaPhePheTmaTmaMepMepPhePheTmaPhePhePhePheTmaTma,[0.52959811 0.32840238 0.14199951]
10,4,256,PheTmaTmaPheMepTmaPhePhePhePheTmaPheTmaPheMepTmaPheTmaTmaTmaTmaTmaTmaPheTmaTmaPheTmaTmaTmaTmaMepPheTmaPheTmaTmaTmaTmaMepPheMepMepMepTmaTmaTmaPhePhePheTmaPhePheTmaTmaTmaMepPheTmaTmaTmaPheTmaPhePhePheTmaPhePhePhe,[0.58563383 0.32164713 0.09271905]
