dataset,epoch,loss,roc_auc,f1,recall,precision,accuracy,confusion_matrix,time
train,1,0.69167600716314,0.5164722588511594,0.12441831986284595,0.07197506375743837,0.4584837545126354,0.5358348480914048,"[[3873  300]
 [3275  254]]",0 days 00:00:02.428143
val,1,0.6881967095228342,0.8001877104495227,0.0,0.0,0.0,0.5386246591941836,"[[1778    0]
 [1523    0]]",0 days 00:00:01.147744
train,2,0.6525014946537633,0.7693688874293901,0.31735691019078643,0.19325587985264947,0.8868660598179454,0.6190599844196313,"[[4086   87]
 [2847  682]]",0 days 00:00:02.458881
val,2,0.5593846165216886,0.8453240784166589,0.7199100112485939,0.6303348653972423,0.8391608391608392,0.7737049378976067,"[[1594  184]
 [ 563  960]]",0 days 00:00:01.150407
train,3,0.4692103603193837,0.8593110645239468,0.7857570317175344,0.7441201473505242,0.8323296354992076,0.8140742664243054,"[[3644  529]
 [ 903 2626]]",0 days 00:00:02.407378
val,3,0.47419873109230626,0.8736710151874483,0.7515151515151515,0.6513460275771503,0.8880931065353626,0.8012723417146319,"[[1653  125]
 [ 531  992]]",0 days 00:00:01.130118
train,4,0.40700464575521406,0.8930645311447372,0.8086309523809524,0.7699064890903938,0.8514572234409276,0.833030381719034,"[[3699  474]
 [ 812 2717]]",0 days 00:00:02.431117
val,4,0.43693631199690014,0.8875306788227308,0.809569996766893,0.8220617202889035,0.7974522292993631,0.821569221448046,"[[1460  318]
 [ 271 1252]]",0 days 00:00:01.127172
train,5,0.41173162287281406,0.8967071779430262,0.8211997670355271,0.7990932275432133,0.8445642407906558,0.8405608932744741,"[[3654  519]
 [ 709 2820]]",0 days 00:00:02.472960
val,5,0.4219120190693782,0.8889775596829123,0.8107023411371237,0.7957977675640184,0.8261758691206544,0.8285368070281732,"[[1523  255]
 [ 311 1212]]",0 days 00:00:01.144273
train,6,0.38410576985728356,0.9046962020958521,0.8281068524970964,0.8081609521110796,0.8490622208990771,0.8462736951441184,"[[3666  507]
 [ 677 2852]]",0 days 00:00:02.402608
val,6,0.42650267481803894,0.8932901361722432,0.8165869218500797,0.8404464871963231,0.794044665012407,0.8258103604968191,"[[1446  332]
 [ 243 1280]]",0 days 00:00:01.134804
train,7,0.38933964410135824,0.9046996991888848,0.8319678022135978,0.820062340606404,0.8442240373395566,0.8482212412360426,"[[3639  534]
 [ 635 2894]]",0 days 00:00:02.434442
val,7,0.42799073228469264,0.8898047707923574,0.7893617021276595,0.7307944845699278,0.8581341557440246,0.8200545289306271,"[[1594  184]
 [ 410 1113]]",0 days 00:00:01.113372
train,8,0.38743952493513784,0.904171332569677,0.8327094730780306,0.8194956078209125,0.8463564530289728,0.8491300960789405,"[[3648  525]
 [ 637 2892]]",0 days 00:00:02.372465
val,8,0.4131016226915213,0.8923166859559495,0.8109017496635262,0.7912015758371634,0.831608005521049,0.8297485610421085,"[[1534  244]
 [ 318 1205]]",0 days 00:00:01.155730
train,9,0.3757711773918521,0.9063423822482941,0.835980363846376,0.8203457069991499,0.8522225493082132,0.8525058426382758,"[[3671  502]
 [ 634 2895]]",0 days 00:00:02.584732
