ID,y_pred,y_true,mask
polyID6_S41,2,2,1
polyID26_S53,2,2,1
pepID10674,2,2,1
pepID867,1,0,1
pepID3970,2,1,1
pepID10838,2,2,1
pepID9496,2,2,1
pepID4504,0,1,1
pepID10621,2,2,1
pepID6732,2,2,1
pepID2030,1,0,1
pepID8023,2,2,1
pepID2975,1,2,1
pepID5849,2,2,1
pepID2298,2,1,1
polyID5_S24,2,2,1
pepID9917,2,2,1
pepID4541,1,1,1
pepID8053,2,2,1
pepID2322,2,2,1
polyID14_S52,2,2,1
pepID9861,2,2,1
polyID6_S74,2,2,1
pepID6453,2,2,1
pepID8335,2,2,1
pepID10180,2,2,1
polyID6_S69,2,2,1
pepID10694,2,2,1
polyID13_S5,2,2,1
polyID12_S14,2,2,1
polyID6_S14,2,2,1
pepID4311,0,0,1
pepID6211,2,2,1
pepID8474,2,2,1
pepID5297,2,2,1
pepID4072,0,0,1
pepID7948,2,2,1
pepID3160,1,1,1
polyID35_S20,2,2,1
pepID7676,2,2,1
polyID13_S97,2,2,1
pepID3580,1,1,1
pepID510,1,0,1
pepID2116,1,0,1
polyID27_S98,1,1,1
pepID5354,2,2,1
polyID2_S36,2,2,1
polyID5_S88,2,2,1
pepID9445,2,2,1
polyID13_S65,2,2,1
pepID7446,2,2,1
pepID7238,2,2,1
pepID3382,0,0,1
pepID10265,2,2,1
pepID3599,1,1,1
pepID7629,2,2,1
pepID5597,2,2,1
polyID26_S79,2,2,1
polyID27_S18,1,1,1
pepID2503,2,2,1
pepID684,1,2,1
pepID223,2,0,1
pepID10754,2,2,1
pepID680,1,0,1
pepID4346,0,0,1
pepID1489,1,0,1
pepID3261,0,0,1
pepID3638,1,1,1
pepID9459,2,2,1
pepID9381,2,2,1
pepID9796,2,2,1
polyID12_S88,2,2,1
pepID8782,2,2,1
pepID6066,2,2,1
pepID3245,1,1,1
pepID3014,1,1,1
pepID6433,2,2,1
polyID6_S13,2,2,1
polyID35_S42,2,2,1
pepID794,1,1,1
pepID4110,0,0,1
pepID7853,2,2,1
polyID27_S68,1,1,1
pepID1788,1,0,1
pepID2094,2,0,1
pepID6129,2,2,1
pepID68,1,0,1
polyID12_S9,2,2,1
pepID3558,1,0,1
pepID7028,2,2,1
polyID14_S43,2,2,1
polyID2_S57,2,2,1
pepID10911,2,2,1
pepID3511,2,0,1
pepID10023,2,2,1
pepID5136,2,2,1
pepID6572,2,2,1
pepID8130,2,2,1
polyID26_S2,2,2,1
pepID2124,1,0,1
pepID6512,0,2,1
pepID8926,2,2,1
polyID5_S61,2,2,1
pepID10969,2,2,1
pepID8842,2,2,1
pepID1790,1,0,1
pepID8974,2,2,1
pepID8204,2,2,1
pepID5314,2,2,1
pepID4444,0,0,1
pepID7831,2,2,1
polyID13_S90,2,2,1
pepID7043,2,2,1
pepID9022,2,2,1
pepID10700,2,2,1
polyID35_S32,2,2,1
pepID35,1,0,1
pepID7871,2,2,1
pepID4687,0,0,1
pepID2071,1,2,1
polyID13_S86,2,2,1
pepID1470,1,0,1
pepID10925,2,2,1
pepID6533,2,2,1
pepID10378,2,2,1
pepID1173,2,0,1
pepID5185,2,2,1
pepID8552,1,2,1
pepID766,1,1,1
pepID5167,2,2,1
pepID2088,1,1,1
pepID8829,2,2,1
pepID9642,2,2,1
polyID35_S26,2,2,1
pepID4572,2,1,1
pepID3050,0,1,1
pepID2150,1,2,1
polyID2_S86,2,2,1
pepID4677,1,1,1
polyID12_S70,2,2,1
pepID3842,2,2,1
pepID10044,2,2,1
polyID13_S70,2,2,1
pepID909,1,1,1
pepID5431,2,2,1
polyID35_S30,2,2,1
pepID2784,2,0,1
pepID1860,1,0,1
pepID6534,2,2,1
pepID2095,1,1,1
pepID7362,2,2,1
pepID548,1,1,1
pepID3726,2,1,1
pepID9576,2,2,1
pepID8631,2,2,1
pepID5833,2,2,1
pepID5983,2,2,1
polyID2_S60,2,2,1
pepID4485,0,0,1
pepID2038,2,0,1
polyID13_S63,2,2,1
pepID1172,2,1,1
pepID9957,2,2,1
polyID2_S22,2,2,1
pepID2914,1,0,1
pepID8306,2,2,1
pepID4398,2,0,1
pepID9239,2,2,1
pepID5454,2,2,1
polyID12_S50,2,2,1
pepID6457,2,2,1
pepID5621,2,2,1
polyID5_S63,2,2,1
pepID1433,2,0,1
pepID7630,2,2,1
pepID9310,2,2,1
polyID2_S75,2,2,1
pepID3073,0,0,1
polyID35_S60,2,2,1
polyID14_S78,2,2,1
pepID9677,2,2,1
pepID4194,1,1,1
pepID2355,2,1,1
pepID1314,2,1,1
pepID5409,2,2,1
polyID2_S13,2,2,1
pepID7776,0,2,1
pepID10910,2,2,1
pepID2447,2,0,1
pepID9534,2,2,1
pepID1699,1,0,1
pepID9750,2,2,1
pepID688,1,1,1
pepID6225,2,2,1
pepID2832,2,1,1
pepID6877,2,2,1
pepID3262,0,0,1
pepID7151,2,2,1
polyID27_S59,1,1,1
polyID12_S92,2,2,1
pepID733,1,0,1
polyID13_S80,2,2,1
pepID814,1,0,1
pepID7612,2,2,1
pepID5924,2,2,1
pepID4228,0,1,1
pepID9520,2,2,1
polyID2_S91,2,2,1
pepID2043,2,1,1
pepID5703,2,2,1
pepID8290,2,2,1
pepID9513,2,2,1
pepID10004,2,2,1
pepID2668,1,1,1
pepID6637,2,2,1
pepID8259,2,2,1
pepID6628,2,2,1
polyID6_S62,2,2,1
pepID3246,0,0,1
pepID5633,2,2,1
pepID5700,2,2,1
pepID5023,1,1,1
polyID6_S60,2,2,1
polyID2_S92,2,2,1
pepID3309,1,1,1
pepID2389,1,0,1
pepID7073,2,2,1
polyID13_S78,2,2,1
pepID5785,2,2,1
pepID7010,2,2,1
pepID9066,2,2,1
polyID27_S6,1,1,1
pepID7194,2,2,1
pepID9362,2,2,1
pepID7663,2,2,1
pepID203,1,1,1
pepID10664,2,2,1
pepID2825,2,1,1
polyID12_S2,2,2,1
pepID3967,2,1,1
pepID1463,1,1,1
pepID4964,0,0,1
pepID5638,2,2,1
pepID6429,2,2,1
pepID3272,1,2,1
pepID6177,2,2,1
pepID5496,2,2,1
pepID5056,0,0,1
pepID1030,1,0,1
pepID9315,2,2,1
pepID4686,1,2,1
pepID8923,2,2,1
polyID35_S53,2,2,1
pepID1485,1,1,1
polyID27_S24,1,1,1
polyID5_S77,2,2,1
polyID12_S3,2,2,1
pepID3802,2,0,1
pepID1082,1,1,1
pepID6251,2,2,1
pepID8732,2,2,1
pepID10485,2,2,1
pepID3652,1,0,1
pepID9525,2,2,1
pepID9747,2,2,1
pepID9643,2,2,1
pepID1926,1,1,1
