dataset,epoch,loss,roc_auc_avg,f1,recall,precision,accuracy,confusion_matrix,0vr_roc_auc,1vr_roc_auc,2vr_roc_auc,time
train,1,0.8307891165216764,0.5701449677115275,0.5631577727770289,0.6544322464361789,0.5093405993864744,0.6544322464361789,"[[   0   60  791]
 [   0   99  992]
 [   0  266 3895]]",0.5883062397806262,0.5407944855353567,0.5813341778185995,0 days 00:00:02.941663
val,1,0.7286724282635583,0.732275137298897,0.559198070123335,0.6867391304347826,0.4716106332703213,0.6867391304347826,"[[   0    0  671]
 [   0    0  770]
 [   0    0 3159]]",0.7392193172477648,0.693450544233834,0.7641555504150923,0 days 00:00:02.017613
train,2,0.6887708852688471,0.733789146982429,0.5570344273470058,0.6826151073242668,0.5329033623034907,0.6826151073242668,"[[  12    0  839]
 [   6    0 1085]
 [   7    0 4154]]",0.8004200514962461,0.6384731639482292,0.7624742255028114,0 days 00:00:02.954979
val,2,0.641214347547955,0.7881304033478295,0.6296989798753557,0.6919565217391305,0.5777406178613277,0.6919565217391305,"[[ 286    0  385]
 [ 279    0  491]
 [ 262    0 2897]]",0.8007160633282493,0.735746329388627,0.827928817326612,0 days 00:00:02.084437
train,3,0.6421577135721842,0.781072506923171,0.6195509922230348,0.6922824840242504,0.5612882302184399,0.6922824840242504,"[[ 335    0  516]
 [ 285    0  806]
 [ 271    0 3890]]",0.8387818014378496,0.6928463346995626,0.8115893846321006,0 days 00:00:02.905035
val,3,0.6260546975665622,0.8115254668539325,0.6339766153092307,0.6895652173913044,0.5879527785775986,0.6895652173913044,"[[ 328    0  343]
 [ 333    0  437]
 [ 315    0 2844]]",0.8261433666659206,0.7604972703536673,0.8479357635422096,0 days 00:00:02.060533
train,4,0.6091165244579315,0.8059203727069698,0.6294695342152028,0.7004751761428806,0.5716950916883825,0.7004751761428806,"[[ 378    0  473]
 [ 322    0  769]
 [ 264    0 3897]]",0.851319132636395,0.7292038978129848,0.8372380876715299,0 days 00:00:02.886574
val,4,0.5996943447324965,0.8206340164431061,0.5935074232349271,0.6926086956521739,0.5450949970220369,0.6926086956521739,"[[  90    0  581]
 [  67    0  703]
 [  63    0 3096]]",0.8348064508665171,0.7677399884710588,0.8593556099917423,0 days 00:00:02.052270
train,5,0.601663221915563,0.8123116917836398,0.6251796831653973,0.6983450761920367,0.6181262265807483,0.6983450761920367,"[[ 320    0  531]
 [ 253   10  828]
 [ 206   23 3932]]",0.8503791963757527,0.7443750032003851,0.8421808757747817,0 days 00:00:02.982709
val,5,0.6054780102438397,0.8200446167492371,0.6242517942840797,0.7069565217391305,0.5688959780608274,0.7069565217391305,"[[ 191    0  480]
 [ 141    0  629]
 [  98    0 3061]]",0.837568403999607,0.76295446068292,0.8596109855651841,0 days 00:00:02.035806
